dlpf,tag,rate_hz,sensor_id,axis,std_dev,n_samples,source_file
1,GEN_S123_default,100.0,1,ax,0.026566616605758677,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S1_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,1,ay,0.024282695289084333,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S1_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,1,gz,0.032738540435464994,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S1_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,2,ax,0.029954810790665178,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S2_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,2,ay,0.026550074673898538,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S2_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,2,gz,0.0399224698119539,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S2_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,3,ax,0.024181180252329796,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S3_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,3,ay,0.02485900622252818,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S3_2025-11-29_01-35-02.csv
1,GEN_S123_default,100.0,3,gz,0.06168194506663645,1500,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\100Hz\mpu_S3_2025-11-29_01-35-02.csv
1,GEN_S123_default,120.0,1,ax,0.025891447657916837,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S1_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,1,ay,0.024645410358686004,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S1_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,1,gz,0.03670955607020523,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S1_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,2,ax,0.030613424298751822,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S2_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,2,ay,0.02625401421228322,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S2_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,2,gz,0.04538081503962768,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S2_2025-11-29_01-35-19.csv
1,GEN_S123_default,120.0,3,ax,0.027008335714309793,1800,C:\Projects\sense-pi-local-recording-live-main\param_sweep_data\dlpf1\GEN_S123_default\120Hz\mpu_S3_2025-11-29_01-35-19.csv
